station,year,severity,collision,road_type,lat,lng,fatal,crash_id
Airport,2020,Grievous Injury,Vehicle to Vehicle,Two way,12.956622,77.697924,0,136
Airport,2021,Grievous Injury,Vehicle to Vehicle,One way,12.937446,77.693259,0,137
Airport,2022,Grievous Injury,Hit pedestrian,Two way,12.928805,77.682394,0,138
Airport,2022,Damage Only,Hit pedestrian,Two way,12.964001,77.663841,0,139
Airport,2023,Grievous Injury,Hit bicyclist,Others,12.958857,77.667531,0,140
Airport,2023,Simple Injury,Vehicle to Vehicle,Two way,12.955249,77.688148,0,141
Airport,2023,Grievous Injury,Not Applicable,Two way,12.956874,77.701385,0,142
Airport,2023,Damage Only,Vehicle to Vehicle,Others,12.965341,77.662685,0,143
Airport,2023,Grievous Injury,Vehicle to Vehicle,Two way,12.974345,77.68114,0,144
Airport,2023,Grievous Injury,Hit pedestrian,Not Applicable,12.964966,77.678457,0,145
Airport,2023,Grievous Injury,Vehicle to Vehicle,Two way,12.956978,77.701282,0,146
Airport,2023,Fatal,Hit pedestrian,Two way,12.956756,77.704023,1,147
Airport,2023,Grievous Injury,Vehicle to Vehicle,Two way,12.956393,77.674848,0,148
Airport,2023,Grievous Injury,Vehicle to Vehicle,Others,12.962596,77.701646,0,149
Airport,2023,Grievous Injury,Vehicle to Vehicle,Others,12.972011,77.711758,0,150
Airport,2023,Grievous Injury,Vehicle to Vehicle,Others,12.965458,77.662578,0,151
Airport,2023,Grievous Injury,Not Applicable,Others,12.955724,77.688135,0,152
Airport,2023,Grievous Injury,Vehicle to Vehicle,Two way,12.958857,77.667531,0,153
Airport,2023,Grievous Injury,Hit pedestrian,Others,12.928742,77.694818,0,154
Airport,2023,Grievous Injury,Not Applicable,Others,12.968876,77.712993,0,155
Airport,2023,Grievous Injury,Vehicle to Vehicle,Residential Street,12.949358,77.70992,0,156
Airport,2023,Fatal,Vehicle to Vehicle,Service Road,12.946571,77.698783,1,157
Airport,2023,Grievous Injury,Hit pedestrian,Two way,12.94215,77.696965,0,158
Airport,2023,Fatal,Hit pedestrian,Two way,12.964851,77.71839,1,159
Airport,2023,Grievous Injury,Vehicle to Vehicle,Service Road,12.934756,77.690187,0,160
Airport,2023,Damage Only,Vehicle to Vehicle,Others,12.929954,77.685225,0,161
Airport,2023,Grievous Injury,Hit bicyclist,Others,12.957041,77.673833,0,162
Airport,2023,Simple Injury,Vehicle to Vehicle,Two way,12.958857,77.667531,0,163
Airport,2023,Fatal,Vehicle to Vehicle,Two way,12.956508,77.696481,1,164
Airport,2023,Fatal,Not Applicable,Two way,12.957473,77.701027,1,165
Airport,2023,Damage Only,Vehicle to Vehicle,Others,12.954859,77.686639,0,166
Airport,2023,Grievous Injury,Vehicle to Vehicle,Two way,12.971093,77.681772,0,167
Airport,2023,Grievous Injury,Hit pedestrian,Others,12.955467,77.715096,0,168
Airport,2023,Grievous Injury,Vehicle to Vehicle,Not Applicable,12.929733,77.685241,0,169
Ashokanagar,2016,Damage Only,Rear end,City or Town Road,12.974022,77.611511,0,170
Ashokanagar,2016,Simple Injury,Hit pedestrian,City or Town Road,12.975095,77.607995,0,171
Ashokanagar,2016,Grievous Injury,Rear end,City or Town Road,12.967694,77.606634,0,172
Ashokanagar,2016,Fatal,Hit pedestrian,City or Town Road,12.974971,77.608114,1,173
Ashokanagar,2016,Grievous Injury,Rear end,City or Town Road,12.967695,77.600009,0,174
Ashokanagar,2016,Grievous Injury,Hit and Run,City or Town Road,12.951451,77.622132,0,175
Ashokanagar,2016,Grievous Injury,Head on,City or Town Road,12.962105,77.597093,0,176
