station,total_2018,total_2019,total_2020,total_2021,total_2022,total_2023,total_2024,total_2025,fatal_2018,fatal_2019,fatal_2020,fatal_2021,fatal_2022,fatal_2023,fatal_2024,fatal_2025,killed_2018,killed_2019,killed_2020,killed_2021,killed_2022,killed_2023,killed_2024,killed_2025,injured_2018,injured_2019,injured_2020,injured_2021,injured_2022,injured_2023,injured_2024,injured_2025,zone,subdivision,killed_est_years,lat,lng
Magadi Road,35.0,47.0,25.0,28.0,20.0,50.0,40.0,39.0,1.0,6.0,4.0,4.0,4.0,7.0,4.0,2.0,1.0,6.0,4.0,4.0,4.0,7.0,4.1,2.1,31.0,49.0,18.0,23.0,17.0,42.0,,,West,Vijayanagar,"2024,2025",12.976,77.553
Mahadevapura,,,,,,93.0,106.0,129.0,,,,,,11.0,17.0,24.0,,,,,,12.0,17.6,24.9,,,,,,72.0,,,East,Whitefield,"2024,2025",12.991,77.691
Malleshwaram,101.0,90.0,45.0,36.0,56.0,99.0,66.0,58.0,5.0,7.0,8.0,6.0,6.0,18.0,10.0,6.0,5.0,7.0,8.0,6.0,6.0,18.0,10.4,6.2,85.0,111.0,34.0,32.0,45.0,88.0,,,North,North,"2024,2025",13.003,77.57
Micolayout,64.0,84.0,61.0,70.0,53.0,88.0,96.0,72.0,6.0,12.0,10.0,9.0,11.0,14.0,23.0,15.0,6.0,12.0,10.0,9.0,11.0,14.0,23.8,15.5,58.0,73.0,42.0,60.0,44.0,71.0,,,South,South East,"2024,2025",12.906,77.611
Peenya,227.0,216.0,126.0,125.0,178.0,192.0,137.0,167.0,23.0,33.0,16.0,22.0,32.0,32.0,26.0,19.0,23.0,34.0,16.0,22.0,33.0,32.0,26.9,19.7,213.0,185.0,116.0,113.0,135.0,191.0,,,North,North,"2024,2025",13.029,77.519
Pulikeshinagar,21.0,30.0,19.0,19.0,9.0,27.0,18.0,19.0,5.0,10.0,8.0,10.0,4.0,4.0,4.0,10.0,5.0,10.0,8.0,10.0,4.0,4.0,4.1,10.4,13.0,17.0,9.0,7.0,5.0,24.0,,,East,East,"2024,2025",13.001,77.616
R T Nagar,94.0,74.0,59.0,65.0,67.0,82.0,61.0,33.0,7.0,11.0,9.0,10.0,11.0,8.0,7.0,7.0,8.0,12.0,10.0,10.0,11.0,8.0,7.3,7.3,81.0,56.0,41.0,50.0,50.0,63.0,,,North,North East,"2024,2025",13.022,77.596
Rajajinagar,71.0,55.0,48.0,66.0,101.0,102.0,99.0,91.0,14.0,10.0,12.0,14.0,25.0,16.0,11.0,12.0,14.0,10.0,12.0,14.0,27.0,17.0,11.4,12.4,66.0,51.0,44.0,58.0,77.0,82.0,,,North,North,"2024,2025",12.991,77.552
S.S.Nagar,86.0,58.0,59.0,64.0,68.0,47.0,53.0,62.0,8.0,6.0,8.0,4.0,13.0,8.0,5.0,4.0,8.0,6.0,8.0,4.0,13.0,8.0,5.2,4.1,74.0,54.0,61.0,51.0,50.0,33.0,,,West,Central,"2024,2025",12.978,77.55
Shivajinagar,25.0,34.0,15.0,11.0,25.0,27.0,34.0,18.0,2.0,7.0,1.0,3.0,4.0,6.0,4.0,1.0,2.0,7.0,1.0,3.0,4.0,6.0,4.1,1.0,23.0,22.0,10.0,5.0,25.0,19.0,,,East,East,"2024,2025",12.986,77.605
Thalagattapura,,,,,,89.0,124.0,151.0,,,,,,22.0,20.0,28.0,,,,,,26.0,20.7,29.0,,,,,,69.0,,,South,South,"2024,2025",12.872,77.541
U.Gate,47.0,53.0,33.0,25.0,35.0,54.0,68.0,67.0,4.0,2.0,4.0,3.0,5.0,7.0,6.0,5.0,4.0,2.0,5.0,3.0,5.0,8.0,6.2,5.2,40.0,49.0,27.0,26.0,27.0,44.0,,,West,Central,"2024,2025",12.843,77.568
Upparpet,46.0,47.0,17.0,21.0,27.0,29.0,46.0,47.0,6.0,10.0,2.0,4.0,3.0,9.0,11.0,11.0,6.0,10.0,2.0,4.0,3.0,9.0,11.4,11.4,41.0,37.0,15.0,18.0,25.0,18.0,,,West,West,"2024,2025",12.977,77.574
VV Puram,,,,,,,,19.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,South,South,"2024,2025",12.945,77.576
Vijayanagar,131.0,122.0,92.0,94.0,84.0,79.0,58.0,77.0,7.0,9.0,8.0,8.0,9.0,16.0,6.0,12.0,7.0,9.0,8.0,8.0,9.0,16.0,6.2,12.4,110.0,111.0,76.0,96.0,83.0,66.0,,,West,Vijayanagar,"2024,2025",12.972,77.53
W.Garden,52.0,74.0,37.0,58.0,54.0,65.0,59.0,40.0,6.0,11.0,3.0,9.0,6.0,6.0,6.0,8.0,6.0,11.0,3.0,9.0,7.0,6.0,6.2,8.3,44.0,60.0,29.0,55.0,51.0,45.0,,,West,Central,"2024,2025",12.973,77.63
Whitefield,174.0,192.0,113.0,91.0,166.0,223.0,189.0,95.0,24.0,48.0,21.0,24.0,39.0,43.0,44.0,27.0,24.0,48.0,22.0,24.0,39.0,44.0,45.6,28.0,164.0,167.0,99.0,83.0,127.0,163.0,,,East,Whitefield,"2024,2025",12.97,77.75
Yalahanka,221.0,260.0,195.0,172.0,204.0,236.0,242.0,257.0,46.0,44.0,40.0,48.0,53.0,58.0,56.0,54.0,48.0,44.0,45.0,52.0,56.0,63.0,58.0,55.9,189.0,287.0,169.0,151.0,154.0,222.0,,,North,North East,"2024,2025",13.101,77.596
Yashawanthapura,151.0,132.0,105.0,79.0,74.0,106.0,98.0,102.0,20.0,17.0,20.0,13.0,13.0,21.0,25.0,18.0,20.0,19.0,20.0,14.0,13.0,22.0,25.9,18.6,130.0,113.0,84.0,59.0,55.0,82.0,,,North,North,"2024,2025",13.024,77.553
