Station,year,fatal,killed,injured,total,killed_est
K G Halli,2020,3,3.0,22.0,20,False
K G Halli,2021,5,5.0,18.0,22,False
K G Halli,2022,7,7.0,24.0,30,False
K G Halli,2023,6,6.0,39.0,40,False
K G Halli,2024,7,7.3,,54,True
K G Halli,2025,11,11.4,,48,True
K R Puram,2018,42,43.0,221.0,283,False
K R Puram,2019,49,50.0,230.0,269,False
K R Puram,2020,48,50.0,129.0,184,False
K R Puram,2021,17,18.0,48.0,64,False
K R Puram,2022,39,39.0,191.0,205,False
K R Puram,2023,41,42.0,217.0,254,False
K R Puram,2024,34,35.2,,241,True
K R Puram,2025,34,35.2,,267,True
K S Layout,2018,33,35.0,141.0,190,False
K S Layout,2019,26,28.0,168.0,192,False
K S Layout,2020,37,39.0,130.0,159,False
K S Layout,2021,45,48.0,129.0,140,False
K S Layout,2022,34,36.0,159.0,175,False
K S Layout,2023,18,18.0,137.0,154,False
K S Layout,2024,20,20.7,,110,True
K S Layout,2025,9,9.3,,77,True
Kamakshipalya,2018,22,22.0,202.0,209,False
Kamakshipalya,2019,25,27.0,207.0,219,False
Kamakshipalya,2020,24,26.0,154.0,159,False
Kamakshipalya,2021,33,34.0,117.0,157,False
Kamakshipalya,2022,49,50.0,146.0,200,False
Kamakshipalya,2023,40,41.0,202.0,241,False
Kamakshipalya,2024,18,18.6,,144,True
Kamakshipalya,2025,23,23.8,,193,True
Kengeri,2018,24,25.0,198.0,161,False
Kengeri,2019,26,27.0,178.0,171,False
Kengeri,2020,22,24.0,88.0,86,False
Kengeri,2021,22,24.0,82.0,107,False
Kengeri,2022,34,36.0,108.0,121,False
Kengeri,2023,58,59.0,237.0,279,False
Kengeri,2024,31,32.1,,177,True
Kengeri,2025,26,26.9,,200,True
Kodigehalli,2025,13,13.5,,110,True
Madivala,2018,18,18.0,69.0,82,False
Madivala,2019,17,18.0,65.0,84,False
Madivala,2020,11,11.0,35.0,45,False
Madivala,2021,8,8.0,51.0,54,False
Madivala,2022,13,13.0,30.0,45,False
Madivala,2023,14,14.0,53.0,73,False
Madivala,2024,21,21.8,,102,True
Madivala,2025,15,15.5,,90,True
Magadi Road,2018,1,1.0,31.0,35,False
Magadi Road,2019,6,6.0,49.0,47,False
Magadi Road,2020,4,4.0,18.0,25,False
Magadi Road,2021,4,4.0,23.0,28,False
Magadi Road,2022,4,4.0,17.0,20,False
Magadi Road,2023,7,7.0,42.0,50,False
Magadi Road,2024,4,4.1,,40,True
Magadi Road,2025,2,2.1,,39,True
Mahadevapura,2023,11,12.0,72.0,93,False
Mahadevapura,2024,17,17.6,,106,True
Mahadevapura,2025,24,24.9,,129,True
Malleshwaram,2018,5,5.0,85.0,101,False
Malleshwaram,2019,7,7.0,111.0,90,False
Malleshwaram,2020,8,8.0,34.0,45,False
Malleshwaram,2021,6,6.0,32.0,36,False
Malleshwaram,2022,6,6.0,45.0,56,False
Malleshwaram,2023,18,18.0,88.0,99,False
Malleshwaram,2024,10,10.4,,66,True
Malleshwaram,2025,6,6.2,,58,True
Micolayout,2018,6,6.0,58.0,64,False
Micolayout,2019,12,12.0,73.0,84,False
Micolayout,2020,10,10.0,42.0,61,False
Micolayout,2021,9,9.0,60.0,70,False
Micolayout,2022,11,11.0,44.0,53,False
Micolayout,2023,14,14.0,71.0,88,False
Micolayout,2024,23,23.8,,96,True
Micolayout,2025,15,15.5,,72,True
Peenya,2018,23,23.0,213.0,227,False
Peenya,2019,33,34.0,185.0,216,False
Peenya,2020,16,16.0,116.0,126,False
Peenya,2021,22,22.0,113.0,125,False
Peenya,2022,32,33.0,135.0,178,False
Peenya,2023,32,32.0,191.0,192,False
Peenya,2024,26,26.9,,137,True
Peenya,2025,19,19.7,,167,True
Pulikeshinagar,2018,5,5.0,13.0,21,False
Pulikeshinagar,2019,10,10.0,17.0,30,False
Pulikeshinagar,2020,8,8.0,9.0,19,False
Pulikeshinagar,2021,10,10.0,7.0,19,False
Pulikeshinagar,2022,4,4.0,5.0,9,False
Pulikeshinagar,2023,4,4.0,24.0,27,False
Pulikeshinagar,2024,4,4.1,,18,True
Pulikeshinagar,2025,10,10.4,,19,True
R T Nagar,2018,7,8.0,81.0,94,False
R T Nagar,2019,11,12.0,56.0,74,False
R T Nagar,2020,9,10.0,41.0,59,False
R T Nagar,2021,10,10.0,50.0,65,False
R T Nagar,2022,11,11.0,50.0,67,False
R T Nagar,2023,8,8.0,63.0,82,False
R T Nagar,2024,7,7.3,,61,True
R T Nagar,2025,7,7.3,,33,True
Rajajinagar,2018,14,14.0,66.0,71,False
Rajajinagar,2019,10,10.0,51.0,55,False
Rajajinagar,2020,12,12.0,44.0,48,False
Rajajinagar,2021,14,14.0,58.0,66,False
Rajajinagar,2022,25,27.0,77.0,101,False
Rajajinagar,2023,16,17.0,82.0,102,False
Rajajinagar,2024,11,11.4,,99,True
Rajajinagar,2025,12,12.4,,91,True
S.S.Nagar,2018,8,8.0,74.0,86,False
S.S.Nagar,2019,6,6.0,54.0,58,False
S.S.Nagar,2020,8,8.0,61.0,59,False
S.S.Nagar,2021,4,4.0,51.0,64,False
S.S.Nagar,2022,13,13.0,50.0,68,False
S.S.Nagar,2023,8,8.0,33.0,47,False
S.S.Nagar,2024,5,5.2,,53,True
S.S.Nagar,2025,4,4.1,,62,True
Shivajinagar,2018,2,2.0,23.0,25,False
Shivajinagar,2019,7,7.0,22.0,34,False
Shivajinagar,2020,1,1.0,10.0,15,False
Shivajinagar,2021,3,3.0,5.0,11,False
Shivajinagar,2022,4,4.0,25.0,25,False
Shivajinagar,2023,6,6.0,19.0,27,False
Shivajinagar,2024,4,4.1,,34,True
Shivajinagar,2025,1,1.0,,18,True
Thalagattapura,2023,22,26.0,69.0,89,False
Thalagattapura,2024,20,20.7,,124,True
Thalagattapura,2025,28,29.0,,151,True
U.Gate,2018,4,4.0,40.0,47,False
U.Gate,2019,2,2.0,49.0,53,False
U.Gate,2020,4,5.0,27.0,33,False
U.Gate,2021,3,3.0,26.0,25,False
U.Gate,2022,5,5.0,27.0,35,False
U.Gate,2023,7,8.0,44.0,54,False
U.Gate,2024,6,6.2,,68,True
U.Gate,2025,5,5.2,,67,True
Upparpet,2018,6,6.0,41.0,46,False
Upparpet,2019,10,10.0,37.0,47,False
Upparpet,2020,2,2.0,15.0,17,False
Upparpet,2021,4,4.0,18.0,21,False
Upparpet,2022,3,3.0,25.0,27,False
Upparpet,2023,9,9.0,18.0,29,False
Upparpet,2024,11,11.4,,46,True
Upparpet,2025,11,11.4,,47,True
VV Puram,2025,1,1.0,,19,True
Vijayanagar,2018,7,7.0,110.0,131,False
Vijayanagar,2019,9,9.0,111.0,122,False
Vijayanagar,2020,8,8.0,76.0,92,False
Vijayanagar,2021,8,8.0,96.0,94,False
Vijayanagar,2022,9,9.0,83.0,84,False
Vijayanagar,2023,16,16.0,66.0,79,False
Vijayanagar,2024,6,6.2,,58,True
Vijayanagar,2025,12,12.4,,77,True
W.Garden,2018,6,6.0,44.0,52,False
W.Garden,2019,11,11.0,60.0,74,False
W.Garden,2020,3,3.0,29.0,37,False
W.Garden,2021,9,9.0,55.0,58,False
W.Garden,2022,6,7.0,51.0,54,False
W.Garden,2023,6,6.0,45.0,65,False
W.Garden,2024,6,6.2,,59,True
W.Garden,2025,8,8.3,,40,True
Whitefield,2018,24,24.0,164.0,174,False
Whitefield,2019,48,48.0,167.0,192,False
Whitefield,2020,21,22.0,99.0,113,False
Whitefield,2021,24,24.0,83.0,91,False
Whitefield,2022,39,39.0,127.0,166,False
Whitefield,2023,43,44.0,163.0,223,False
Whitefield,2024,44,45.6,,189,True
Whitefield,2025,27,28.0,,95,True
Yalahanka,2018,46,48.0,189.0,221,False
Yalahanka,2019,44,44.0,287.0,260,False
Yalahanka,2020,40,45.0,169.0,195,False
Yalahanka,2021,48,52.0,151.0,172,False
Yalahanka,2022,53,56.0,154.0,204,False
Yalahanka,2023,58,63.0,222.0,236,False
Yalahanka,2024,56,58.0,,242,True
Yalahanka,2025,54,55.9,,257,True
Yashawanthapura,2018,20,20.0,130.0,151,False
Yashawanthapura,2019,17,19.0,113.0,132,False
Yashawanthapura,2020,20,20.0,84.0,105,False
Yashawanthapura,2021,13,14.0,59.0,79,False
Yashawanthapura,2022,13,13.0,55.0,74,False
Yashawanthapura,2023,21,22.0,82.0,106,False
Yashawanthapura,2024,25,25.9,,98,True
Yashawanthapura,2025,18,18.6,,102,True
